"","year","Lower_CI","Upper_CI","mean_lpi","Index"
"1",1970,1,1,1,1
"2",1971,1.00218624506114,1.02397234247878,1.01299415363345,1.00888784525276
"3",1972,1.00320898109911,1.04111117575458,1.02196942659919,1.01465423901151
"4",1973,0.997736782712403,1.05010648295863,1.0238088199695,1.01550266323682
"5",1974,0.989935072483747,1.05364188262939,1.02120465180498,1.01213202055578
"6",1975,0.984911505292996,1.0570855586896,1.02009176004505,1.01076172918551
"7",1976,0.979328977683561,1.05765993772086,1.01742621426607,1.00789824193243
"8",1977,0.972056197289145,1.05623906998432,1.01302533546686,1.00392611992624
"9",1978,0.968975408619739,1.05887466273768,1.01244325752999,1.00386503932322
"10",1979,0.969358813416142,1.06354715842722,1.01537015830381,1.00725298655468
"11",1980,0.972810133348172,1.07143396706139,1.02138395276073,1.01376703717068
"12",1981,0.974936111958643,1.07762444812747,1.02559813633807,1.01907986596444
"13",1982,0.97154969149169,1.07753540746952,1.02311786223573,1.01844258328194
"14",1983,0.967959387202439,1.07763265668074,1.02124603116148,1.01778175280059
"15",1984,0.968096087668778,1.08095934454763,1.02313100459722,1.02004820687957
"16",1985,0.969996964918945,1.08617336333284,1.02634654940232,1.02335954198112
"17",1986,0.968610226532714,1.0868313003591,1.02577788977888,1.02328666460738
"18",1987,0.96281357169234,1.08323672591413,1.02113130548911,1.01978098486649
"19",1988,0.958177115325115,1.08107717688755,1.01754629008754,1.01820174613689
"20",1989,0.951694183842355,1.0781176018288,1.01260256934575,1.0154692053242
"21",1990,0.945015999916387,1.07630531839441,1.00816226493433,1.01354309602405
"22",1991,0.936066432228842,1.07096651819278,1.00104897727287,1.00863907593968
"23",1992,0.927202911896345,1.06612247540772,0.994134079954239,1.00396660155364
"24",1993,0.925932904762103,1.07014845059144,0.995814773564606,1.0079400111377
"25",1994,0.932496139197875,1.08192617738513,1.00465299934932,1.0171092144729
"26",1995,0.934349421603355,1.08682980843172,1.00796669290065,1.02115745413565
"27",1996,0.938824316803265,1.0951398383012,1.01457697183427,1.02772338068609
"28",1997,0.938069181370174,1.09754136121401,1.01529991060705,1.02832418745551
"29",1998,0.928017455550625,1.08976470242278,1.00619939707845,1.0195134356856
"30",1999,0.915955663198855,1.07934045032826,0.994771498244818,1.00876036396567
"31",2000,0.906529076984254,1.07166365936009,0.986190226729133,1.00166664616896
"32",2001,0.897422898246478,1.06649134690683,0.978615123263025,0.996458990556526
"33",2002,0.8896279600222,1.06137972188357,0.971917169217448,0.991497969087555
"34",2003,0.883723108654146,1.05721219465753,0.966990837426965,0.98725220302146
"35",2004,0.881755851293824,1.05817471330599,0.966262149180078,0.986295347551412
"36",2005,0.887121708814242,1.0658499905639,0.97228959651686,0.990544739267092
"37",2006,0.889029498988453,1.07071143587095,0.97551852502789,0.992359836094052
"38",2007,0.890957413409987,1.07457243409987,0.978475140613264,0.995227633136955
"39",2008,0.887613810224115,1.07439405789961,0.976149378191258,0.993008190969472
"40",2009,0.883063477660594,1.07234356993068,0.972399460542126,0.989173072573684
"41",2010,0.879152756475683,1.07053105453349,0.970131357063126,0.986457444074471
"42",2011,0.876445245332507,1.06957008525036,0.968222587706231,0.985041765743043
"43",2012,0.872490500618941,1.06847557521108,0.966052937578609,0.983374443291935
"44",2013,0.87211403619048,1.07011973850852,0.966400918735507,0.984570279793979
"45",2014,0.87313905981436,1.07567714889722,0.969213468620465,0.987712689460598
"46",2015,0.877678125238866,1.08380008587169,0.975688178626944,0.993694989143135
"47",2016,0.881367287002011,1.09121973471046,0.980527234809078,0.998516503356214
"48",2017,0.877874920387814,1.08934110147761,0.977839597508026,0.995843826530459
"49",2018,0.874171690354112,1.08688650991002,0.974982219099485,0.991195241182856
"50",2019,0.878734801712677,1.09408207467212,0.98023356756958,0.994765908591679
"51",2020,0.884901587878664,1.10485252436402,0.988935151237928,1.00129533262328
"52",2021,0.892512644100138,1.11605066397889,0.999157076267401,1.00835406073462
"53",2022,0.897144721958566,1.12622905412606,1.00594775091955,1.01105446837562
